DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,46.24,46.24,42.20,44.00,9858900,0
20010103,44.00,47.86,43.25,47.86,8868000,0
20010104,47.23,48.53,47.11,47.79,3651600,0
20010105,47.17,47.36,45.80,46.67,4208200,0
20010108,45.74,46.37,44.31,45.43,3562500,0
20010109,45.43,46.18,43.88,44.44,5533200,0
20010110,43.81,45.24,43.19,44.93,6354400,0
20010111,45.62,47.42,45.62,47.11,4945600,0
20010112,47.11,47.36,45.24,46.24,4046200,0
20010115,46.24,46.24,46.24,46.24,0,0
20010116,45.99,47.92,45.99,47.61,4420000,0
20010117,48.41,48.99,47.36,47.73,9644900,0
20010118,48.23,49.16,47.36,48.60,4466500,0
20010119,48.85,49.10,47.42,48.11,4205700,0
20010122,47.86,48.32,46.43,46.79,3782200,0
20010123,47.36,47.98,47.05,47.61,4306000,0
20010124,47.61,48.11,46.67,47.11,2534800,0
20010125,46.98,48.23,46.86,47.04,5136300,0
20010126,47.17,47.86,45.74,46.18,5793200,0
20010129,46.09,46.44,45.00,45.54,3114900,0
20010130,45.54,47.23,45.54,47.10,4511100,0
20010131,47.10,47.92,46.63,46.98,4531000,0
20010201,47.38,47.93,46.94,47.47,2603100,0
20010202,47.28,47.98,47.01,47.43,3479500,0
20010205,47.43,49.34,47.38,49.14,3520700,0
20010206,48.97,49.42,48.49,48.97,2825300,0
20010207,48.72,49.07,47.83,48.27,2211200,0
20010208,48.71,49.42,48.23,48.50,2573300,0
20010209,48.25,48.37,46.53,46.93,4790700,0
20010212,47.23,49.17,47.10,48.78,2933000,0
20010213,48.59,49.36,48.41,48.42,2660700,0
20010214,48.32,48.41,47.33,47.40,1711400,0
20010215,47.28,49.21,47.23,48.23,4518300,0
20010216,47.65,48.52,47.43,47.94,2802200,0
20010219,47.94,47.94,47.94,47.94,0,0
20010220,47.94,49.56,47.94,48.92,2969500,0
20010221,49.22,49.66,48.24,48.39,3513500,0
20010222,48.62,48.62,46.83,47.93,6143500,0
20010223,47.33,47.73,45.69,46.73,5185000,0
20010226,47.13,48.56,46.76,48.40,6717800,0
20010227,46.24,47.88,46.24,47.88,9503200,0
20010228,47.81,47.97,45.49,46.47,9645800,0
20010301,45.49,45.84,44.74,45.79,5193300,0
20010302,45.44,45.54,44.29,44.54,3793600,0
20010305,44.50,45.48,44.45,45.39,3841400,0
20010306,46.24,46.86,45.80,45.99,4173600,0
20010307,46.14,46.56,45.83,46.22,2735500,0
20010308,46.29,46.58,45.25,46.07,4486200,0
20010309,45.25,45.44,43.33,43.73,5366100,0
20010312,43.55,43.55,38.38,40.17,8869700,0
20010313,41.26,42.16,40.52,41.99,7347500,0
20010314,40.27,41.73,39.77,40.42,7580900,0
20010315,40.72,40.91,40.05,40.28,5012300,0
20010316,39.83,40.77,39.28,39.28,9680600,0
20010319,39.52,40.72,39.10,40.32,4994800,0
20010320,40.42,41.22,38.88,39.23,4264300,0
20010321,38.88,39.61,37.54,37.56,4241200,0
20010322,36.79,37.04,34.65,35.73,11262700,0
20010323,36.54,38.31,36.25,37.73,7004600,0
20010326,39.38,40.40,38.48,39.08,5640800,0
20010327,39.28,41.26,39.19,41.16,4301100,0
20010328,40.07,40.47,39.64,40.37,5404300,0
20010329,40.12,40.37,39.43,40.22,2124500,0
20010330,40.47,40.92,39.77,40.57,5006100,0
20010402,40.22,41.51,39.38,40.25,3107700,0
20010403,39.82,40.05,37.64,38.03,4686200,0
20010404,37.78,39.67,37.25,37.97,5350400,0
20010405,39.13,40.48,39.08,40.42,7598400,0
20010406,39.62,39.97,38.43,39.28,9734200,0
20010409,39.38,40.47,38.48,39.38,5320900,0
20010410,40.22,43.13,40.17,42.10,8545600,0
20010411,42.76,42.99,40.88,41.36,5027200,0
20010412,41.61,43.20,41.36,43.20,4434600,0
20010416,42.51,43.00,41.96,43.00,4309400,0
20010417,42.06,44.25,42.06,44.10,4388000,0
20010418,44.78,47.23,44.40,46.73,7200700,0
20010419,45.99,47.43,45.99,47.33,3001800,0
20010420,46.53,47.68,46.34,46.95,5449700,0
20010423,46.85,46.85,45.24,46.17,2498400,0
20010424,46.03,46.71,44.94,45.13,2233600,0
20010425,45.84,47.93,45.70,47.24,3456700,0
20010426,48.18,49.00,47.85,48.91,3047300,0
20010427,49.02,49.67,48.24,49.67,3032900,0
20010430,49.22,49.67,47.63,48.60,2382800,0
20010501,47.73,48.71,47.47,48.67,2534100,0
20010502,48.62,49.22,47.83,48.77,3501800,0
20010503,48.87,49.37,47.83,48.13,8417700,0
20010504,47.23,49.72,47.01,49.53,3480300,0
20010507,49.32,49.75,49.02,49.62,3929700,0
20010508,48.62,49.38,48.10,48.98,3379900,0
20010509,48.32,49.89,48.15,49.22,5716700,0
20010510,49.72,49.77,48.92,49.46,1907200,0
20010511,49.52,49.52,48.23,49.22,2298800,0
20010514,48.72,49.72,48.53,49.62,2039400,0
20010515,49.42,50.12,49.15,50.02,4389600,0
20010516,49.24,51.88,49.22,51.80,6350300,0
20010517,51.41,52.52,51.38,52.20,3831500,0
20010518,52.45,53.30,51.90,52.95,4623300,0
20010521,52.60,53.59,52.35,53.20,2864700,0
20010522,52.95,53.23,51.90,52.64,2589700,0
20010523,52.30,52.63,50.91,51.32,3502600,0
20010524,51.32,51.85,50.60,51.21,2892400,0
20010525,50.71,50.95,49.52,49.92,2701100,0
20010528,49.92,49.92,49.92,49.92,0,0
20010529,50.06,50.31,49.02,49.26,6423900,0
20010530,49.12,49.45,48.27,48.35,3217000,0
20010531,48.62,48.74,48.03,48.13,3466400,0
20010601,48.03,48.41,47.13,48.10,2754100,0
20010604,48.34,48.72,47.98,48.46,3787000,0
20010605,48.23,48.67,47.73,48.56,3807000,0
20010606,48.42,48.89,48.03,48.56,5791500,0
20010607,48.27,48.79,47.84,48.47,2769900,0
20010608,47.83,47.84,44.94,46.25,10354500,0
20010611,46.49,47.51,44.79,44.99,11365200,0
20010612,43.76,43.76,41.32,43.22,26877200,0
20010613,44.74,45.74,41.31,42.02,27013500,0
20010614,36.14,41.00,35.80,36.89,86217700,0
20010615,37.19,38.58,35.30,38.48,28101200,0
20010618,38.08,39.87,37.75,39.77,18436900,0
20010619,38.58,38.98,36.49,38.28,19482000,0
20010620,36.85,37.64,36.54,36.83,16827500,0
20010621,37.19,37.19,36.14,36.54,14038100,0
20010622,36.94,36.94,35.96,36.39,9981200,0
20010625,36.29,37.49,34.86,35.40,19479300,0
20010626,34.70,37.19,34.25,35.99,17151800,0
20010627,36.00,37.88,35.05,36.79,16864500,0
20010628,40.37,40.37,37.29,37.98,22855400,0
20010629,38.08,38.08,32.81,34.79,51839500,0
20010702,34.21,34.55,33.69,33.92,16704600,0
20010703,35.20,35.55,34.60,34.90,16615500,0
20010704,34.90,34.90,34.90,34.90,0,0
20010705,34.80,36.43,34.65,36.29,17349100,0
20010706,36.09,36.09,34.72,34.99,14843400,0
20010709,34.80,34.95,34.25,34.48,8432400,0
20010710,34.79,34.85,34.14,34.21,10480900,0
20010711,34.40,35.80,34.23,35.30,8740800,0
20010712,35.30,36.29,35.30,35.91,6128900,0
20010713,36.19,36.29,35.78,36.29,4574900,0
20010716,36.29,36.38,35.75,35.89,3751900,0
20010717,35.80,35.85,34.80,35.70,5631600,0
20010718,35.55,36.69,35.40,36.29,6238000,0
20010719,36.39,36.79,35.95,36.35,3894700,0
20010720,36.19,36.79,36.19,36.69,6735000,0
20010723,36.64,36.88,35.93,35.96,5877800,0
20010724,36.54,36.89,35.78,36.00,7353500,0
20010725,36.04,37.07,35.83,36.59,3746900,0
20010726,36.79,36.98,36.50,36.79,5851000,0
20010727,36.79,37.24,36.40,37.16,3685600,0
20010730,37.27,37.49,36.72,36.98,2506000,0
20010731,37.49,37.49,36.56,36.66,3328700,0
20010801,36.94,37.34,36.50,36.51,3964000,0
20010802,36.78,36.97,36.15,36.64,3700800,0
20010803,36.79,36.83,36.34,36.59,2279400,0
20010806,36.77,36.88,36.21,36.31,2429300,0
20010807,36.69,36.69,36.33,36.33,3549400,0
20010808,36.52,36.54,35.66,36.09,2398400,0
20010809,36.23,36.27,35.60,35.88,2110700,0
20010810,35.87,36.29,35.15,36.29,2069600,0
20010813,36.34,36.34,35.66,35.98,1669300,0
20010814,36.23,36.53,36.00,36.47,2279800,0
20010815,36.81,37.19,36.69,37.11,4576500,0
20010816,36.94,37.50,36.60,37.29,3186400,0
20010817,37.29,37.53,36.54,36.74,3957600,0
20010820,36.99,37.88,36.81,37.88,3674500,0
20010821,37.88,38.27,36.81,37.04,3757400,0
20010822,37.29,37.64,36.89,37.29,3350400,0
20010823,37.83,37.83,37.39,37.71,1551900,0
20010824,38.25,38.86,38.03,38.73,3594700,0
20010827,38.48,38.81,38.32,38.73,1995200,0
20010828,38.78,38.78,37.04,37.30,2272600,0
20010829,37.78,37.83,36.79,36.80,3063000,0
20010830,36.80,37.14,36.14,36.67,3408600,0
20010831,37.14,37.49,36.72,37.05,2269200,0
20010903,37.05,37.05,37.05,37.05,0,0
20010904,37.05,38.03,36.67,36.74,3092900,0
20010905,36.76,37.49,36.29,37.18,1771700,0
20010906,36.84,37.24,36.51,36.69,2720800,0
20010907,36.69,36.81,35.52,35.55,3512200,0
20010910,35.56,35.92,35.32,35.50,5206600,0
20010911,35.50,35.50,35.50,35.50,0,0
